All entities,index,Target
COMMINGLED PENSION TRUST FUND (U.S. REAL ESTATE SECURITIES) OF JPMORGAN CHASE BANK N.A.,2,Commingled Pension Trust Fund
"Commingled Pension Trust Fund (U.S. Smartlndex) of JPMorgan Chase Bank, N.A.",2,Commingled Pension Trust Fund
DEUTSCHE MORGAN GREN AUS L-SYD,213,Deutsche Morgan Grenfell Group Public Limited Company
DEUTSCHE MORGAN GRENFELL (C.I.) LIMITED FKA: MORGAN GRENFELL (C.I.) LIMITED,213,Deutsche Morgan Grenfell Group Public Limited Company
DEUTSCHE MORGAN GRENFELL AUSTRALIA LTD,213,Deutsche Morgan Grenfell Group Public Limited Company
J P MORGAN AUST LTD MELB,216,J.P. Morgan Australia Limited
J P MORGAN CANADA-TOR ONT,217,J.P. Morgan Bank Canada
J P MORGAN EUROPE LTD LDN,218,J.P. Morgan Europe Limited
J P MORGAN INV MGT INC-NY,18,"J.P. Morgan Investment Management, Inc."
J P MORGAN SEC CAN INC-TOR,98,J.P. Morgan Securities Canada Inc
J P Morgan Securities LLC,31,J.P. Morgan Securities LLC
J P MORGAN SECURITIES LLC,31,J.P. Morgan Securities LLC
J.P MORGAN INV MGMT INC,18,"J.P. Morgan Investment Management, Inc."
J.P MORGAN INV MGMT INC,18,"J.P. Morgan Investment Management, Inc."
J.P MORGAN INV MGMT INC,18,"J.P. Morgan Investment Management, Inc."
J.P MORGAN INV MGMT INC,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN CHASE COMMERCIAL MORTGAGE SECURITIES TRUST 2015-UES,227,J.P. Morgan Chase Commercial Mortgage Securities Trust 2015-UES
J.P. Morgan Chase Commercial Mortgage Securities Trust 2015-UES,227,J.P. Morgan Chase Commercial Mortgage Securities Trust 2015-UES
J.P. MORGAN CHASE COMMERCIAL MORTGAGE SECURITIES TRUST 2015-UES,227,J.P. Morgan Chase Commercial Mortgage Securities Trust 2015-UES
J.P. MORGAN EUROPE LIMITED,218,J.P. Morgan Europe Limited
J.P. MORGAN EXCHANGE-TRADED FUND - JPMORGAN CORPORATE BOND RESEARCH ENHANCED ETF,172,J.P. Morgan Ventures Energy Corporation
J.P. MORGAN INV MGT AAF SEL FD(USA),18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INV MGT-USA,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MANAGEMENT CO.,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MANAGEMENT INC.,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MANAGEMENT INC.,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MANAGEMENT INC. AS AGENT FOR SELECT FUNDS (USA),18,"J.P. Morgan Investment Management, Inc."
J.P. Morgan Investment Management Inc. As Agent for Select Funds (USA),18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MANAGEMENT INC. AS AGENT FOR SELECT FUNDS (USA),18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT IN,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT IN,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT IN,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT IN,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT IN,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVESTMENT MGMT IN,18,"J.P. Morgan Investment Management, Inc."
J.P. MORGAN INVST MGMT-NYC,18,"J.P. Morgan Investment Management, Inc."
MORGAN STANLEY,256,Morgan Stanley
MORGAN STANLEY,256,Morgan Stanley
MORGAN STANLEY,256,Morgan Stanley
MORGAN STANLEY,256,Morgan Stanley
MORGAN STANLEY,256,Morgan Stanley
MORGAN STANLEY,256,Morgan Stanley
MORGAN STANLEY,256,Morgan Stanley
MORGAN STANLEY,256,Morgan Stanley
MORGAN STANLEY,256,Morgan Stanley
MORGAN STANLEY,256,Morgan Stanley
MORGAN STANLEY,256,Morgan Stanley
MORGAN STANLEY,256,Morgan Stanley
MORGAN STANLEY & CO EQUITY-NY,256,Morgan Stanley
MORGAN STANLEY & CO INC FX-NY,256,Morgan Stanley
